<WELLCONSTRUCTION>,,,,
Bore,Depth_top_C,Depth_bot_C,Diam_in,Cons_Type
R. Judy,-5,18,8,Steel
R. Kelly,-1,99,8,Steel
R. Kelly,2,1184,4.5,PVC
R. Kelly,205,245,4.5,Perforations-PVC
R. Kelly,265,285,4.5,Perforations-PVC
R. Kelly,380,400,4.5,Perforations-PVC
R. Kelly,500,520,4.5,Perforations-PVC
R. Kelly,620,640,4.5,Perforations-PVC
R. Kelly,700,720,4.5,Perforations-PVC
R. Kelly,800,820,4.5,Perforations-PVC
R. Kelly,920,940,4.5,Perforations-PVC
R. Kelly,1040,1080,4.5,Perforations-PVC
R. Kelly,1120,1140,4.5,Perforations-PVC
R. Kelly,1160,1180,4.5,Perforations-PVC
R. Lewis,-2,38,6,Steel
R. Millington,-1,575,6,Steel
R. Millington,0,80,8,Steel
R. Monteirth,0,39,26,Steel
R. Monteirth,1,284,20,Steel
R. Monteirth,270,350,16,Steel
R. Monteirth,350,510,16,Screen-SS
R. Monteirth,510,535,16,Steel
R. Monteirth,535,575,16,Screen-SS
R. Smith,-1,999.9,20,Steel
R. Smith,465,704,16,Perforations-steel
R. Smith,749,848,12,Steel
R. Smith,877,1077,10,Steel
R. Smith,897,1067,10,Perforations-steel
R.J. Brown,-1.5,20,30,Steel
R.J. Brown,18,334,16,Steel
R.J. Brown,334,344,12,Screen-SS
R.J. Brown,344,364,12,Steel
R.J. Brown,364,384,12,Screen-SS
R.J. Brown,384,391,12,Steel
R.J. Brown,391,401,12,Screen-SS
R.J. Brown,401,416,12,Steel
R.J. Brown,416,434,12,Perforations-steel
R.J. Brown,434,464,12,Steel
R.J. Brown,464,474,12,Perforations-steel
R.J. Brown,474,574,12,Steel
R.J. Brown,574,604,12,Perforations-steel
Range Ctr O and M,-2,118,12,Steel
Range Ctr O and M,-2,851,8,Steel
Range Ctr O and M,851,963,8,Open
S. Brown,-2,140,6,Steel
S. Rosti,1.5,280,6,Steel
S. Rosti,275,290,5,Steel
S. Rosti,290,300,5,Screen-SS
S. Rosti,300,309,5,Steel
S. Rosti,309,324,5,Screen-SS
S. Ver Hagen,1,540,6,Steel
S. Ver Hagen,540,1005,6,Open
S. Whitney,-2,458,6,Steel
S. Whitney,432,460,5,Steel
S. Whitney,460,493,5,Perforations-steel
St ID Cap Bldg bsmt,0,389,8,Steel
St ID Cap Bldg bsmt,289,786,6,Steel
St ID Dept. of Corr.,-2,495,12,Steel
St ID Dept. of Corr.,495,525,12,Screen-SS
St ID Dept. of Corr.,525,538,12,Steel
St ID Dept. of Corr.,538,558,12,Screen-SS
St ID Dept. of Corr.,558,568,12,Steel
St ID Dept. of Corr.,568,588,12,Screen-SS
St ID Military div,-2,705,10,Steel
St ID Military div,-1,115,14,Steel
St ID Military div,685,735,6,Steel
St ID Military div,735,755,6,Screen-SS
St ID SRV Rest Area,-1.5,190.5,8,Steel
St ID SRV Rest Area,3,30,12,Steel
St ID SRV Rest Area,3,191,10,Steel
St ID SRV Rest Area,187.7,194,6,Steel
St ID SRV Rest Area,194,199.3,6,Screen-SS
St ID SRV Rest Area,199.3,212,6,Steel
St ID SRV Rest Area,212,222.3,6,Screen-SS
