<AQUIFER>,,
Bore,Depth_Water,WL_Date
TV ITD Middleton,74.55,17-Sep-16
TV ITD Middleton,70.93,18-Sep-16
TV ITD Middleton,71.03,18-Sep-16
TV ITD Middleton,70.95,19-Sep-16
TV ITD Middleton,71.01,19-Sep-16
TV ITD Middleton,70.9,20-Sep-16
TV ITD Middleton,70.95,20-Sep-16
TV ITD Middleton,70.83,21-Sep-16
TV ITD Middleton,71.33,21-Sep-16
TV ITD Middleton,70.79,22-Sep-16
TV ITD Middleton,70.81,22-Sep-16
TV ITD Middleton,70.66,23-Sep-16
TV ITD Middleton,70.69,23-Sep-16
TV ITD Middleton,70.68,24-Sep-16
TV ITD Middleton,70.66,24-Sep-16
TV ITD Middleton,70.89,25-Sep-16
TV ITD Middleton,70.95,25-Sep-16
TV ITD Middleton,70.78,26-Sep-16
TV ITD Middleton,70.99,26-Sep-16
TV ITD Middleton,70.96,27-Sep-16
TV ITD Middleton,71.57,27-Sep-16
TV ITD Middleton,71.05,28-Sep-16
TV ITD Middleton,71.16,28-Sep-16
TV ITD Middleton,71.03,29-Sep-16
TV ITD Middleton,71.06,29-Sep-16
TV ITD Middleton,71.12,30-Sep-16
TV ITD Middleton,71.1,30-Sep-16
TV ITD Middleton,71.03,1-Oct-16
TV ITD Middleton,70.97,1-Oct-16
TV ITD Middleton,70.92,2-Oct-16
TV ITD Middleton,70.92,2-Oct-16
TV ITD Middleton,70.85,3-Oct-16
TV ITD Middleton,76.12,3-Oct-16
TV ITD Middleton,70.82,4-Oct-16
TV ITD Middleton,70.85,4-Oct-16
TV ITD Middleton,70.96,5-Oct-16
TV ITD Middleton,71.03,5-Oct-16
TV ITD Middleton,70.82,6-Oct-16
TV ITD Middleton,70.9,6-Oct-16
TV ITD Middleton,70.72,7-Oct-16
TV ITD Middleton,70.75,7-Oct-16
TV ITD Middleton,70.76,8-Oct-16
TV ITD Middleton,74.33,8-Oct-16
TV ITD Middleton,70.94,9-Oct-16
TV ITD Middleton,71.01,9-Oct-16
TV ITD Middleton,70.88,10-Oct-16
TV ITD Middleton,70.89,10-Oct-16
TV ITD Middleton,70.83,11-Oct-16
TV ITD Middleton,70.86,11-Oct-16
TV ITD Middleton,70.8,12-Oct-16
TV ITD Middleton,70.87,12-Oct-16
TV ITD Middleton,70.74,13-Oct-16
TV ITD Middleton,70.93,13-Oct-16
TV ITD Middleton,70.68,14-Oct-16
TV ITD Middleton,70.66,14-Oct-16
TV ITD Middleton,70.58,15-Oct-16
TV ITD Middleton,70.54,15-Oct-16
TV ITD Middleton,70.48,16-Oct-16
TV ITD Middleton,70.47,16-Oct-16
TV ITD Middleton,70.43,17-Oct-16
TV ITD Middleton,70.79,17-Oct-16
TV ITD Middleton,70.67,18-Oct-16
TV ITD Middleton,71.12,18-Oct-16
TV ITD Middleton,70.6,19-Oct-16
TV ITD Middleton,70.76,19-Oct-16
TV ITD Middleton,70.82,20-Oct-16
TV ITD Middleton,70.59,20-Oct-16
TV ITD Middleton,70.82,20-Oct-16
TV ITD Middleton,71.62,22-Mar-17
TV Kilzer,144.1,8-Dec-69
TV Kilzer,145.84,10-Mar-70
TV Kilzer,148.12,8-Oct-70
TV Kilzer,158.27,27-Aug-93
TV Kilzer,155.5,2-Feb-95
TV Kilzer,154.36,18-Mar-96
TV Kilzer,160.65,17-Jul-96
TV Kilzer,165.15,20-Aug-96
TV Kilzer,156.76,20-Sep-96
TV Kilzer,153.87,23-Oct-96
TV Kilzer,153.2,21-Nov-96
TV Kilzer,153.67,17-Dec-96
TV Kilzer,153.81,22-Jan-97
TV Kilzer,153.95,19-Feb-97
TV Kilzer,156.5,25-Mar-97
TV Kilzer,156.34,24-Apr-97
TV Kilzer,167.2,20-May-97
TV Kilzer,160.18,26-Jun-97
TV Kilzer,161.22,31-Jul-97
TV Kilzer,166.83,26-Aug-97
TV Kilzer,158.14,23-Sep-97
TV Kilzer,154.06,30-Oct-97
TV Kilzer,153.56,25-Nov-97
TV Kilzer,153.68,19-Dec-97
TV Kilzer,153.88,21-Jan-98
TV Kilzer,153.83,24-Feb-98
TV Kilzer,154.23,18-Mar-98
TV Kilzer,155.13,19-May-98
TV Kilzer,159.13,23-Jun-98
TV Kilzer,158.13,22-Jul-98
TV Kilzer,157.87,26-Aug-98
TV Kilzer,156,30-Sep-98
TV Kilzer,151.83,27-Oct-98
TV Kilzer,151.18,23-Nov-98
TV Kilzer,151.8,22-Dec-98
TV Kilzer,152.13,28-Jan-99
TV Kilzer,152.28,23-Feb-99
TV Kilzer,152.59,23-Mar-99
TV Kilzer,157.22,26-Apr-99
TV Kilzer,158.02,27-May-99
TV Kilzer,161.1,23-Jun-99
TV Kilzer,159.41,27-Jul-99
TV Kilzer,158.67,26-Aug-99
TV Kilzer,157.61,22-Sep-99
TV Kilzer,153.58,21-Oct-99
TV Kilzer,151.35,17-Nov-99
TV Kilzer,151.68,15-Dec-99
TV Kilzer,152,19-Jan-00
TV Kilzer,152.3,16-Feb-00
TV Kilzer,152.53,22-Mar-00
TV Kilzer,154.33,12-Apr-00
TV Kilzer,157.81,17-May-00
TV Kilzer,159.79,14-Jun-00
TV Kilzer,159.05,12-Jul-00
TV Kilzer,165.34,16-Aug-00
TV Kilzer,155.92,27-Sep-00
TV Kilzer,151.71,18-Oct-00
TV Kilzer,150.67,15-Nov-00
TV Kilzer,150.8,14-Dec-00
TV Kilzer,153.2,24-Jan-01
TV Kilzer,151.54,14-Feb-01
TV Kilzer,151.92,14-Mar-01
TV Kilzer,152.19,18-Apr-01
TV Kilzer,158.79,16-May-01
TV Kilzer,159.72,20-Jun-01
TV Kilzer,157.2,18-Jul-01
TV Kilzer,156.61,15-Aug-01
TV Kilzer,153.88,12-Sep-01
TV Kilzer,162.2,23-Oct-01
TV Kilzer,163.7,8-Jan-02
TV Kilzer,154.7,2-Apr-02
TV Kilzer,158,21-Jun-02
TV Kilzer,157.6,11-Sep-02
TV Kilzer,149.1,10-Dec-02
TV Kilzer,151.5,27-Mar-03
TV Kilzer,153.6,16-Sep-03
TV Kilzer,151.6,26-Dec-03
TV Kilzer,152.2,24-Feb-04
TV Kilzer,156.7,23-Apr-04
TV Kilzer,159.8,17-Jun-04
TV Kilzer,156.3,23-Aug-04
TV Kilzer,152.1,19-Oct-04
TV Kilzer,151.8,22-Dec-04
TV Kilzer,152.3,15-Feb-05
TV Kilzer,152,18-Apr-05
TV Kilzer,166.3,20-Jul-05
TV Kilzer,156.2,19-Sep-05
TV Kilzer,150,22-Nov-05
TV Kilzer,151.8,25-Jan-06
TV Kilzer,154.2,21-Apr-06
TV Kilzer,158.4,21-Jun-06
TV Kilzer,154.2,18-Oct-06
TV Kilzer,150.1,27-Dec-06
TV Kilzer,152,21-Feb-07
TV Kilzer,163.2,25-Apr-07
TV Kilzer,158.9,20-Jun-07
TV Kilzer,156.9,21-Aug-07
TV Kilzer,150.7,23-Oct-07
TV Kilzer,151.8,20-Dec-07
TV Kilzer,151.1,19-Feb-08
TV Kilzer,160.2,19-May-08
TV Kilzer,158.6,18-Jul-08
TV Kilzer,163.4,10-Sep-08
TV Kilzer,150.4,18-Nov-08
TV Kilzer,150.8,15-Jan-09
TV Kilzer,151.6,11-Mar-09
TV Kilzer,159,27-May-09
TV Kilzer,150.24,14-Jan-10
TV Kilzer,150.96,9-Mar-10
TV Kilzer,156.73,17-May-10
TV Kilzer,156.12,12-Jul-10
TV Kilzer,155.72,10-Aug-10
TV Kilzer,160.96,21-Sep-10
TV Kilzer,147.36,15-Nov-10
TV Kilzer,148.6,25-Jan-11
TV Kilzer,154.73,13-May-11
TV Kilzer,160.43,21-Jul-11
TV Kilzer,146.52,8-Dec-11
TV Kilzer,144.06,9-Jan-12
TV Kilzer,148.09,27-Mar-12
TV Kilzer,154.81,22-May-12
TV Kilzer,152.54,3-Aug-12
TV Kilzer,146.47,28-Sep-12
TV Kilzer,145.69,12-Feb-13
TV Kilzer,146.25,27-Nov-13
TV Kilzer,152.64,28-Apr-14
TV Kilzer,151.64,30-Jul-14
TV Kilzer,153.66,23-Sep-14
TV Kilzer,145.54,30-Jan-15
TV Kilzer,146.68,25-Mar-15
TV Kilzer,154.22,5-Jun-15
TV Kilzer,148.73,4-Sep-15
TV Kilzer,151.15,31-May-16
TV Kilzer,146.24,24-Oct-16
TV Kilzer,147.58,20-Mar-17
TV Lenzi,28.4,17-Aug-92
TV Lenzi,21.17,19-Mar-96
TV Lenzi,19.87,16-Jul-96
TV Lenzi,20.74,19-Aug-96
TV Lenzi,21.05,20-Sep-96
TV Lenzi,21.89,29-Oct-96
TV Lenzi,23.38,25-Nov-96
TV Lenzi,23.27,19-Dec-96
TV Lenzi,20.5,27-Jan-97
TV Lenzi,18.71,21-Feb-97
TV Lenzi,17.55,27-Mar-97
TV Lenzi,18.13,29-Apr-97
TV Lenzi,17.84,22-May-97
TV Lenzi,18.31,30-Jun-97
TV Lenzi,19.3,29-Jul-97
TV Lenzi,20.05,27-Aug-97
TV Lenzi,20.6,26-Sep-97
TV Lenzi,21.65,31-Oct-97
TV Lenzi,22.4,21-Nov-97
TV Lenzi,22.89,24-Dec-97
TV Lenzi,22.77,22-Jan-98
TV Lenzi,22.38,26-Feb-98
TV Lenzi,22.88,20-Mar-98
TV Lenzi,20.28,23-Apr-98
TV Lenzi,18.64,20-May-98
TV Lenzi,16.98,24-Jun-98
TV Lenzi,17.64,21-Jul-98
TV Lenzi,19.15,25-Aug-98
TV Lenzi,19.98,1-Oct-98
TV Lenzi,21.2,29-Oct-98
TV Lenzi,22.43,27-Nov-98
TV Lenzi,22.92,23-Dec-98
TV Lenzi,22.92,29-Jan-99
TV Lenzi,22.58,25-Feb-99
TV Lenzi,20.62,24-Mar-99
TV Lenzi,19.34,28-Apr-99
TV Lenzi,19.01,26-May-99
TV Lenzi,19.07,21-Jun-99
TV Lenzi,20,29-Jul-99
TV Lenzi,20.26,25-Aug-99
TV Lenzi,20.4,22-Sep-99
TV Lenzi,20.36,22-Oct-99
TV Lenzi,21.09,19-Nov-99
TV Lenzi,21.28,16-Dec-99
TV Lenzi,21.4,20-Jan-00
TV Lenzi,21.35,17-Feb-00
TV Lenzi,20.65,23-Mar-00
TV Lenzi,20.33,13-Apr-00
TV Lenzi,17.87,18-May-00
TV Lenzi,18.03,15-Jun-00
TV Lenzi,18.83,13-Jul-00
TV Lenzi,24.3,17-Aug-00
TV Lenzi,26.06,28-Sep-00
TV Lenzi,20.22,19-Oct-00
TV Lenzi,21.02,16-Nov-00
TV Lenzi,21.48,15-Dec-00
TV Lenzi,21.49,25-Jan-01
TV Lenzi,21.63,15-Feb-01
TV Lenzi,21.45,15-Mar-01
TV Lenzi,21.5,19-Apr-01
TV Lenzi,20.1,17-May-01
TV Lenzi,26.05,22-Jun-01
TV Lenzi,20.88,19-Jul-01
TV Lenzi,26.63,16-Aug-01
TV Lenzi,20.89,13-Sep-01
TV Lenzi,21,17-Oct-01
TV Lenzi,23.5,7-Jan-02
TV Lenzi,22.4,4-Apr-02
TV Lenzi,19,19-Jun-02
TV Lenzi,21,11-Sep-02
TV Lenzi,22.1,10-Dec-02
TV Lenzi,21.3,7-Mar-03
TV Lenzi,20.5,15-Sep-03
TV Lenzi,22.2,18-Dec-03
TV Lenzi,21.7,27-Feb-04
TV Lenzi,24.2,20-Apr-04
TV Lenzi,20.6,16-Jun-04
TV Lenzi,20.7,25-Aug-04
TV Lenzi,21.2,18-Oct-04
TV Lenzi,21.7,15-Apr-05
TV Lenzi,20.3,21-Jul-05
TV Lenzi,20.5,20-Sep-05
TV Lenzi,21.4,23-Nov-05
TV Lenzi,20.4,27-Jan-06
TV Lenzi,17.7,18-Apr-06
TV Lenzi,22.9,22-Jun-06
TV Lenzi,19.4,1-Sep-06
TV Lenzi,20,20-Oct-06
TV Lenzi,20.5,29-Dec-06
TV Lenzi,20.8,22-Feb-07
TV Lenzi,20.6,27-Apr-07
TV Lenzi,19.6,19-Jun-07
TV Lenzi,20.9,23-Aug-07
TV Lenzi,20.5,24-Oct-07
TV Lenzi,21.3,20-Dec-07
TV Lenzi,21.6,20-Feb-08
TV Lenzi,20.3,21-May-08
TV Lenzi,20,21-Jul-08
TV Lenzi,28,11-Sep-08
TV Lenzi,21.4,20-Nov-08
TV Lenzi,21.4,12-Jan-09
TV Lenzi,21.3,10-Mar-09
TV Lenzi,21,26-May-09
TV Lenzi,19.9,20-Jul-09
TV Lenzi,21,21-Sep-09
TV Lenzi,20.9,9-Nov-09
TV Lenzi,20.66,13-Jan-10
TV Lenzi,20.23,10-Mar-10
TV Lenzi,19.7,19-May-10
TV Lenzi,18.76,14-Jul-10
TV Lenzi,20.37,15-Sep-10
TV Lenzi,20.76,17-Nov-10
TV Lenzi,20.15,31-Jan-11
TV Lenzi,17.35,18-May-11
TV Lenzi,18.21,20-Jul-11
TV Lenzi,19.75,21-Sep-11
TV Lenzi,20.12,7-Dec-11
TV Lenzi,20.83,11-Jan-12
TV Lenzi,19.15,9-Apr-12
TV Lenzi,26.69,30-May-12
TV Lenzi,20.54,1-Aug-12
TV Lenzi,20.97,26-Sep-12
TV Lenzi,21.02,13-Feb-13
TV Lenzi,21.33,29-Nov-13
TV Lenzi,19.65,6-May-14
TV Lenzi,24.69,1-Aug-14
TV Lenzi,19.98,22-Sep-14
TV Lenzi,20.11,3-Feb-15
TV Lenzi,20.78,30-Mar-15
TV Lenzi,25.17,5-Jun-15
TV Lenzi,20.09,14-Sep-15
TV Lenzi,18.42,1-Jun-16
TV Lenzi,18.42,1-Jun-16
TV Lenzi,18.46,2-Jun-16
TV Lenzi,18.28,2-Jun-16
TV Lenzi,18.2,3-Jun-16
TV Lenzi,18.08,3-Jun-16
TV Lenzi,18.18,4-Jun-16
TV Lenzi,18.21,4-Jun-16
TV Lenzi,18.32,5-Jun-16
TV Lenzi,18.44,5-Jun-16
TV Lenzi,18.47,6-Jun-16
TV Lenzi,18.51,6-Jun-16
TV Lenzi,18.52,7-Jun-16
TV Lenzi,19.78,7-Jun-16
TV Lenzi,18.54,8-Jun-16
TV Lenzi,18.59,8-Jun-16
TV Lenzi,18.55,9-Jun-16
TV Lenzi,18.48,9-Jun-16
TV Lenzi,18.58,10-Jun-16
TV Lenzi,18.53,10-Jun-16
TV Lenzi,18.37,11-Jun-16
TV Lenzi,18.55,11-Jun-16
TV Lenzi,18.2,12-Jun-16
TV Lenzi,18.2,12-Jun-16
TV Lenzi,18.3,13-Jun-16
TV Lenzi,18.45,13-Jun-16
TV Lenzi,18.77,14-Jun-16
TV Lenzi,18.41,14-Jun-16
TV Lenzi,18.46,15-Jun-16
TV Lenzi,18.48,15-Jun-16
TV Lenzi,18.35,16-Jun-16
TV Lenzi,18.17,16-Jun-16
TV Lenzi,18.2,17-Jun-16
TV Lenzi,18.23,17-Jun-16
TV Lenzi,18.65,18-Jun-16
TV Lenzi,18.18,18-Jun-16
TV Lenzi,18,19-Jun-16
TV Lenzi,18,19-Jun-16
TV Lenzi,18.16,20-Jun-16
TV Lenzi,18.25,20-Jun-16
TV Lenzi,18.3,21-Jun-16
TV Lenzi,18.18,21-Jun-16
TV Lenzi,18.33,22-Jun-16
TV Lenzi,18.42,22-Jun-16
TV Lenzi,18.58,23-Jun-16
TV Lenzi,18.48,23-Jun-16
TV Lenzi,18.56,24-Jun-16
TV Lenzi,18.34,24-Jun-16
TV Lenzi,18.29,25-Jun-16
TV Lenzi,18.31,25-Jun-16
TV Lenzi,18.36,26-Jun-16
TV Lenzi,18.4,26-Jun-16
TV Lenzi,18.48,27-Jun-16
TV Lenzi,18.51,27-Jun-16
TV Lenzi,18.56,28-Jun-16
TV Lenzi,18.54,28-Jun-16
TV Lenzi,18.64,29-Jun-16
TV Lenzi,18.66,29-Jun-16
TV Lenzi,18.74,30-Jun-16
TV Lenzi,18.74,30-Jun-16
TV Lenzi,18.74,1-Jul-16
TV Lenzi,18.76,1-Jul-16
TV Lenzi,18.81,2-Jul-16
TV Lenzi,18.78,2-Jul-16
TV Lenzi,18.85,3-Jul-16
TV Lenzi,19.18,3-Jul-16
TV Lenzi,18.91,4-Jul-16
TV Lenzi,18.76,4-Jul-16
TV Lenzi,18.8,5-Jul-16
TV Lenzi,18.81,5-Jul-16
TV Lenzi,18.87,6-Jul-16
TV Lenzi,18.79,6-Jul-16
TV Lenzi,18.84,7-Jul-16
TV Lenzi,18.9,7-Jul-16
TV Lenzi,18.99,8-Jul-16
TV Lenzi,18.91,8-Jul-16
TV Lenzi,18.97,9-Jul-16
TV Lenzi,18.88,9-Jul-16
TV Lenzi,18.97,10-Jul-16
TV Lenzi,18.86,10-Jul-16
TV Lenzi,18.77,11-Jul-16
TV Lenzi,18.74,11-Jul-16
TV Lenzi,18.86,12-Jul-16
TV Lenzi,20.23,12-Jul-16
TV Lenzi,18.74,13-Jul-16
TV Lenzi,18.64,13-Jul-16
TV Lenzi,18.72,14-Jul-16
TV Lenzi,18.77,14-Jul-16
TV Lenzi,18.92,15-Jul-16
TV Lenzi,18.94,15-Jul-16
TV Lenzi,18.97,16-Jul-16
TV Lenzi,18.95,16-Jul-16
TV Lenzi,19.05,17-Jul-16
TV Lenzi,19.09,17-Jul-16
TV Lenzi,19.13,18-Jul-16
TV Lenzi,19.03,18-Jul-16
TV Lenzi,18.98,19-Jul-16
TV Lenzi,18.99,19-Jul-16
TV Lenzi,19.05,20-Jul-16
TV Lenzi,18.95,20-Jul-16
TV Lenzi,19.01,21-Jul-16
TV Lenzi,19.04,21-Jul-16
TV Lenzi,19.08,22-Jul-16
TV Lenzi,18.9,22-Jul-16
TV Lenzi,18.95,23-Jul-16
TV Lenzi,18.93,23-Jul-16
TV Lenzi,19.01,24-Jul-16
TV Lenzi,19.02,24-Jul-16
TV Lenzi,19.11,25-Jul-16
TV Lenzi,19.12,25-Jul-16
TV Lenzi,19.18,26-Jul-16
TV Lenzi,19.14,26-Jul-16
TV Lenzi,19.18,27-Jul-16
TV Lenzi,19.7,27-Jul-16
TV Lenzi,19.17,28-Jul-16
TV Lenzi,19.12,28-Jul-16
TV Lenzi,19.23,29-Jul-16
TV Lenzi,19.25,29-Jul-16
TV Lenzi,19.35,30-Jul-16
TV Lenzi,19.37,30-Jul-16
TV Lenzi,19.4,31-Jul-16
TV Lenzi,19.28,31-Jul-16
TV Lenzi,19.27,1-Aug-16
TV Lenzi,19.23,1-Aug-16
TV Lenzi,19.32,2-Aug-16
TV Lenzi,19.29,2-Aug-16
TV Lenzi,19.19,3-Aug-16
TV Lenzi,19.09,3-Aug-16
TV Lenzi,19.2,4-Aug-16
TV Lenzi,19.24,4-Aug-16
TV Lenzi,19.38,5-Aug-16
TV Lenzi,19.48,5-Aug-16
TV Lenzi,19.49,6-Aug-16
TV Lenzi,19.49,6-Aug-16
TV Lenzi,19.5,7-Aug-16
TV Lenzi,19.48,7-Aug-16
TV Lenzi,19.47,8-Aug-16
TV Lenzi,19.42,8-Aug-16
TV Lenzi,19.44,9-Aug-16
TV Lenzi,19.42,9-Aug-16
TV Lenzi,19.34,10-Aug-16
TV Lenzi,19.3,10-Aug-16
TV Lenzi,19.28,11-Aug-16
TV Lenzi,19.23,11-Aug-16
TV Lenzi,19.26,12-Aug-16
TV Lenzi,19.81,12-Aug-16
TV Lenzi,20.9,13-Aug-16
TV Lenzi,20.96,13-Aug-16
TV Lenzi,19.39,14-Aug-16
TV Lenzi,19.43,14-Aug-16
TV Lenzi,19.4,15-Aug-16
TV Lenzi,19.38,15-Aug-16
TV Lenzi,19.4,16-Aug-16
TV Lenzi,21.22,16-Aug-16
TV Lenzi,19.41,17-Aug-16
TV Lenzi,20.48,17-Aug-16
TV Lenzi,19.42,18-Aug-16
TV Lenzi,19.39,18-Aug-16
TV Lenzi,19.45,19-Aug-16
TV Lenzi,19.39,19-Aug-16
TV Lenzi,19.39,20-Aug-16
TV Lenzi,19.4,20-Aug-16
TV Lenzi,19.48,21-Aug-16
TV Lenzi,19.53,21-Aug-16
TV Lenzi,19.58,22-Aug-16
TV Lenzi,19.44,22-Aug-16
TV Lenzi,19.44,23-Aug-16
TV Lenzi,19.33,23-Aug-16
TV Lenzi,19.29,24-Aug-16
TV Lenzi,21.06,24-Aug-16
TV Lenzi,19.3,25-Aug-16
TV Lenzi,19.32,25-Aug-16
TV Lenzi,19.41,26-Aug-16
TV Lenzi,19.43,26-Aug-16
TV Lenzi,19.51,27-Aug-16
TV Lenzi,19.5,27-Aug-16
TV Lenzi,19.51,28-Aug-16
TV Lenzi,19.36,28-Aug-16
TV Lenzi,19.38,29-Aug-16
TV Lenzi,19.38,29-Aug-16
TV Lenzi,19.46,30-Aug-16
TV Lenzi,19.54,30-Aug-16
TV Lenzi,19.56,31-Aug-16
TV Lenzi,19.59,31-Aug-16
TV Lenzi,19.62,1-Sep-16
TV Lenzi,19.57,1-Sep-16
TV Lenzi,19.64,2-Sep-16
TV Lenzi,19.52,2-Sep-16
TV Lenzi,19.6,3-Sep-16
TV Lenzi,19.62,3-Sep-16
TV Lenzi,19.67,4-Sep-16
TV Lenzi,19.69,4-Sep-16
TV Lenzi,19.54,5-Sep-16
TV Lenzi,19.46,5-Sep-16
TV Lenzi,19.46,6-Sep-16
TV Lenzi,19.53,6-Sep-16
TV Lenzi,19.38,7-Sep-16
TV Lenzi,19.32,7-Sep-16
TV Lenzi,19.37,8-Sep-16
TV Lenzi,19.3,8-Sep-16
TV Lenzi,19.28,9-Sep-16
TV Lenzi,19.15,9-Sep-16
TV Lenzi,19.19,10-Sep-16
TV Lenzi,19.26,10-Sep-16
TV Lenzi,19.44,11-Sep-16
TV Lenzi,19.53,11-Sep-16
TV Lenzi,19.57,12-Sep-16
TV Lenzi,19.57,12-Sep-16
TV Lenzi,19.47,13-Sep-16
TV Lenzi,19.57,13-Sep-16
TV Lenzi,19.57,14-Sep-16
TV Lenzi,19.47,14-Sep-16
TV Lenzi,19.4,15-Sep-16
TV Lenzi,19.36,15-Sep-16
TV Lenzi,19.41,16-Sep-16
TV Lenzi,20,16-Sep-16
TV Lenzi,19.45,17-Sep-16
TV Lenzi,19.47,17-Sep-16
TV Lenzi,19.54,18-Sep-16
TV Lenzi,19.51,18-Sep-16
TV Lenzi,19.53,19-Sep-16
TV Lenzi,19.52,19-Sep-16
TV Lenzi,19.6,20-Sep-16
TV Lenzi,19.62,20-Sep-16
TV Lenzi,19.68,21-Sep-16
TV Lenzi,20.18,21-Sep-16
TV Lenzi,19.8,22-Sep-16
TV Lenzi,19.74,22-Sep-16
TV Lenzi,19.69,23-Sep-16
TV Lenzi,19.59,23-Sep-16
TV Lenzi,19.43,24-Sep-16
TV Lenzi,19.28,24-Sep-16
TV Lenzi,19.14,25-Sep-16
TV Lenzi,19.1,25-Sep-16
TV Lenzi,19.22,26-Sep-16
TV Lenzi,19.3,26-Sep-16
TV Lenzi,19.48,27-Sep-16
TV Lenzi,19.53,27-Sep-16
TV Lenzi,19.61,28-Sep-16
TV Lenzi,19.67,28-Sep-16
TV Lenzi,19.76,29-Sep-16
TV Lenzi,19.71,29-Sep-16
TV Lenzi,19.76,30-Sep-16
TV Lenzi,19.75,30-Sep-16
TV Lenzi,19.89,1-Oct-16
TV Lenzi,19.75,1-Oct-16
TV Lenzi,19.81,2-Oct-16
TV Lenzi,20,2-Oct-16
TV Lenzi,19.99,3-Oct-16
TV Lenzi,19.9,3-Oct-16
TV Lenzi,19.87,4-Oct-16
TV Lenzi,19.83,4-Oct-16
TV Lenzi,19.84,5-Oct-16
TV Lenzi,19.77,5-Oct-16
TV Lenzi,19.73,6-Oct-16
TV Lenzi,19.64,6-Oct-16
TV Lenzi,19.71,7-Oct-16
TV Lenzi,19.72,7-Oct-16
TV Lenzi,19.76,8-Oct-16
TV Lenzi,19.85,8-Oct-16
TV Lenzi,19.94,9-Oct-16
TV Lenzi,19.95,9-Oct-16
TV Lenzi,20.12,10-Oct-16
TV Lenzi,20.07,10-Oct-16
TV Lenzi,20.07,11-Oct-16
TV Lenzi,19.92,11-Oct-16
TV Lenzi,19.88,12-Oct-16
TV Lenzi,19.92,12-Oct-16
TV Lenzi,20.1,13-Oct-16
TV Lenzi,20.13,13-Oct-16
TV Lenzi,20.54,14-Oct-16
TV Lenzi,20.32,14-Oct-16
TV Lenzi,20.36,15-Oct-16
TV Lenzi,20.51,15-Oct-16
TV Lenzi,20.54,16-Oct-16
TV Lenzi,20.51,16-Oct-16
TV Lenzi,20.69,17-Oct-16
TV Lenzi,20.32,17-Oct-16
TV Lenzi,20.31,18-Oct-16
TV Lenzi,20.18,18-Oct-16
TV Lenzi,19.96,19-Oct-16
TV Lenzi,19.79,19-Oct-16
TV Lenzi,19.85,20-Oct-16
TV Lenzi,19.99,20-Oct-16
TV Lenzi,20.1,21-Oct-16
TV Lenzi,20.25,21-Oct-16
TV Lenzi,20.38,22-Oct-16
TV Lenzi,20.31,22-Oct-16
TV Lenzi,20.37,23-Oct-16
TV Lenzi,20.31,23-Oct-16
TV Lenzi,20.43,24-Oct-16
TV Lenzi,20.36,24-Oct-16
TV Lenzi,20.39,25-Oct-16
TV Lenzi,20.25,25-Oct-16
TV Lenzi,20.28,26-Oct-16
TV Lenzi,20.3,26-Oct-16
TV Lenzi,21.79,27-Oct-16
TV Lenzi,20.48,27-Oct-16
TV Lenzi,20.42,28-Oct-16
TV Lenzi,20.41,28-Oct-16
TV Lenzi,20.39,29-Oct-16
TV Lenzi,20.39,29-Oct-16
TV Lenzi,20.45,30-Oct-16
TV Lenzi,20.63,30-Oct-16
TV Lenzi,20.5,31-Oct-16
TV Lenzi,20.38,31-Oct-16
TV Lenzi,20.5,1-Nov-16
TV Lenzi,20.35,1-Nov-16
TV Lenzi,20.15,2-Nov-16
TV Lenzi,20.08,2-Nov-16
TV Lenzi,20.05,3-Nov-16
TV Lenzi,20.02,3-Nov-16
TV Lenzi,20.11,4-Nov-16
TV Lenzi,21.47,4-Nov-16
TV Lenzi,20.2,5-Nov-16
TV Lenzi,20.35,5-Nov-16
TV Lenzi,20.52,6-Nov-16
TV Lenzi,20.39,6-Nov-16
TV Lenzi,20.28,7-Nov-16
TV Lenzi,20.14,7-Nov-16
TV Lenzi,20.12,8-Nov-16
TV Lenzi,20.16,8-Nov-16
TV Lenzi,20.22,9-Nov-16
TV Lenzi,20.24,9-Nov-16
TV Lenzi,20.23,10-Nov-16
TV Lenzi,20.25,10-Nov-16
TV Lenzi,20.28,11-Nov-16
TV Lenzi,20.37,11-Nov-16
TV Lenzi,20.45,12-Nov-16
TV Lenzi,20.43,12-Nov-16
TV Lenzi,20.35,13-Nov-16
TV Lenzi,21.26,13-Nov-16
TV Lenzi,20.39,14-Nov-16
TV Lenzi,20.42,14-Nov-16
TV Lenzi,20.49,15-Nov-16
TV Lenzi,20.64,15-Nov-16
TV Lenzi,20.94,16-Nov-16
TV Lenzi,20.7,16-Nov-16
TV Lenzi,20.59,17-Nov-16
TV Lenzi,20.47,17-Nov-16
TV Lenzi,20.72,17-Nov-16
TV Lenzi,17.84,31-Mar-17
TV Linder Rd,92.5,26-Jun-67
TV Linder Rd,87.45,2-Aug-67
TV Linder Rd,67.67,18-Sep-67
TV Linder Rd,71.29,30-Nov-67
TV Linder Rd,76.03,24-Jan-68
TV Linder Rd,79.9,22-Mar-68
TV Linder Rd,94.4,29-May-68
TV Linder Rd,85.53,25-Jul-68
TV Linder Rd,74.23,13-Sep-68
TV Linder Rd,72.94,4-Dec-68
TV Linder Rd,90.85,17-Apr-69
TV Linder Rd,93.69,16-Jul-69
TV Linder Rd,66.9,15-Sep-69
TV Linder Rd,69.68,14-Nov-69
TV Linder Rd,75.19,15-Jan-70
TV Linder Rd,78.98,11-Mar-70
TV Linder Rd,82.46,16-Jul-70
TV Linder Rd,66.22,16-Sep-70
